snapped_at,price,5ma
2014-09-08 00:00:00 UTC,471.125,480.77526
2014-09-09 00:00:00 UTC,471.7538,477.21652
2014-09-10 00:00:00 UTC,477.1138,476.59078
2014-09-11 00:00:00 UTC,476.3775,475.39452
2014-09-12 00:00:00 UTC,473.6875,474.01152
2014-09-13 00:00:00 UTC,476.0013,474.98678
2014-09-14 00:00:00 UTC,474.795,475.59502
2014-09-15 00:00:00 UTC,473.0313,474.77852
2014-09-16 00:00:00 UTC,462.5925,472.02152
2014-09-17 00:00:00 UTC,454.6238,468.20878
2014-09-18 00:00:00 UTC,423.565,457.72152
2014-09-19 00:00:00 UTC,393.2625,441.41502
2014-09-20 00:00:00 UTC,408.5025,428.50926
2014-09-21 00:00:00 UTC,396.62,415.31476
2014-09-22 00:00:00 UTC,398.3113,404.05226
2014-09-23 00:00:00 UTC,433.7513,406.08952
2014-09-24 00:00:00 UTC,420.92,411.62102
2014-09-25 00:00:00 UTC,407.9775,411.51602
2014-09-26 00:00:00 UTC,402.88,412.76802
2014-09-27 00:00:00 UTC,398.0075,412.70726
2014-09-28 00:00:00 UTC,375.9888,401.15476
2014-09-29 00:00:00 UTC,373.0888,391.58852
2014-09-30 00:00:00 UTC,387.3513,387.46328
2014-10-01 00:00:00 UTC,380.895,383.06628
2014-10-02 00:00:00 UTC,371.8413,377.83304
2014-10-03 00:00:00 UTC,356.19,373.87328
2014-10-04 00:00:00 UTC,327.8813,364.83178
2014-10-05 00:00:00 UTC,325.11,352.38352
2014-10-06 00:00:00 UTC,328.73,341.95052
2014-10-07 00:00:00 UTC,331.7238,333.92702
2014-10-08 00:00:00 UTC,353.3901,333.36704
2014-10-09 00:00:00 UTC,358.395,339.46978
2014-10-10 00:00:00 UTC,357.555,345.95878
2014-10-11 00:00:00 UTC,359.515,352.11578
2014-10-12 00:00:00 UTC,374.1675,360.60452
2014-10-13 00:00:00 UTC,387.0388,367.33426
2014-10-14 00:00:00 UTC,398.2888,375.31302
2014-10-15 00:00:00 UTC,392.19,382.24002
2014-10-16 00:00:00 UTC,379.3913,386.21528
2014-10-17 00:00:00 UTC,380.2925,387.44028
2014-10-18 00:00:00 UTC,389.1163,387.85578
2014-10-19 00:00:00 UTC,386.945,385.58702
2014-10-20 00:00:00 UTC,379.77,383.10302
2014-10-21 00:00:00 UTC,382.4138,383.70752
2014-10-22 00:00:00 UTC,379.4425,383.53752
2014-10-23 00:00:00 UTC,356.2,376.95426
2014-10-24 00:00:00 UTC,354.3175,370.42876
2014-10-25 00:00:00 UTC,347.030494056409,363.880858811282
2014-10-26 00:00:00 UTC,350.1888,357.435858811282
2014-10-27 00:00:00 UTC,348.29,351.205358811282
2014-10-28 00:00:00 UTC,351.5638,350.278118811282
2014-10-29 00:00:00 UTC,333.1475,346.044118811282
2014-10-30 00:00:00 UTC,343.6675,345.37152
2014-10-31 00:00:00 UTC,336.587975805781,342.651355161156
2014-11-01 00:00:00 UTC,323.9763,337.788615161156
2014-11-02 00:00:00 UTC,323.985,332.272855161156
2014-11-03 00:00:00 UTC,323.995,330.442355161156
2014-11-04 00:00:00 UTC,328.0083,327.310515161156
2014-11-05 00:00:00 UTC,337.5933,327.51158
2014-11-06 00:00:00 UTC,347.8183,332.27998
2014-11-07 00:00:00 UTC,341.2317,335.72932
2014-11-08 00:00:00 UTC,344.1783,339.76598
2014-11-09 00:00:00 UTC,363.424129101593,346.849145820319
2014-11-10 00:00:00 UTC,363.765,352.083485820319
2014-11-11 00:00:00 UTC,366.15,355.749825820319
2014-11-12 00:00:00 UTC,418.5783,371.219145820319
2014-11-13 00:00:00 UTC,414.7083,385.325145820319
2014-11-14 00:00:00 UTC,395.245,391.68932
2014-11-15 00:00:00 UTC,377.3267,394.40166
2014-11-16 00:00:00 UTC,387.6233,398.69632
2014-11-17 00:00:00 UTC,384.9,391.96066
2014-11-18 00:00:00 UTC,374.8683,383.99266
2014-11-19 00:00:00 UTC,376.7883,380.30132
2014-11-20 00:00:00 UTC,355.388834554162,375.913746910832
2014-11-21 00:00:00 UTC,349.388285432395,368.266743997311
2014-11-22 00:00:00 UTC,351.55,361.596743997311
2014-11-23 00:00:00 UTC,366.7817,359.979423997311
2014-11-24 00:00:00 UTC,377.7417,360.170103997311
2014-11-25 00:00:00 UTC,375.248,364.141937086479
2014-11-26 00:00:00 UTC,365.766,367.41748
2014-11-27 00:00:00 UTC,368.448,370.79708
2014-11-28 00:00:00 UTC,376.951,372.83094
2014-11-29 00:00:00 UTC,374.965,372.2756
2014-11-30 00:00:00 UTC,376.472,372.5204
2014-12-01 00:00:00 UTC,379.489,375.265
2014-12-02 00:00:00 UTC,381.3768,377.85076
2014-12-03 00:00:00 UTC,374.103,377.28116
2014-12-04 00:00:00 UTC,368.2282,375.9338
2014-12-05 00:00:00 UTC,376.379,375.9152
2014-12-06 00:00:00 UTC,373.671,374.7516
2014-12-07 00:00:00 UTC,374.448,373.36584
2014-12-08 00:00:00 UTC,361.433,370.83184
2014-12-09 00:00:00 UTC,350.928,367.3718
2014-12-10 00:00:00 UTC,346.979871836319,361.491974367264
2014-12-11 00:00:00 UTC,346.909,356.139574367264
2014-12-12 00:00:00 UTC,351.502,351.550374367264
2014-12-13 00:00:00 UTC,347.484,348.760574367264
2014-12-14 00:00:00 UTC,350.133,348.601574367264
2014-12-15 00:00:00 UTC,344.615,348.1286
2014-12-16 00:00:00 UTC,328.534,344.4536
2014-12-17 00:00:00 UTC,318.828,337.9188
2014-12-18 00:00:00 UTC,309.765,330.375
2014-12-19 00:00:00 UTC,317.54,323.8564
2014-12-20 00:00:00 UTC,328.774,320.6882
2014-12-21 00:00:00 UTC,319.501,318.8816
2014-12-22 00:00:00 UTC,329.886,321.0932
2014-12-23 00:00:00 UTC,333.97,325.9342
2014-12-24 00:00:00 UTC,322.194,326.865
2014-12-25 00:00:00 UTC,318.166,324.7434
2014-12-26 00:00:00 UTC,327.716970871015,326.386594174203
2014-12-27 00:00:00 UTC,314.568,323.322994174203
2014-12-28 00:00:00 UTC,316.491,319.827194174203
2014-12-29 00:00:00 UTC,312.633,317.914994174203
2014-12-30 00:00:00 UTC,310.079,316.297594174203
2014-12-31 00:00:00 UTC,317.379,314.23
2015-01-01 00:00:00 UTC,313.992,314.1148
2015-01-02 00:00:00 UTC,314.446,313.7058
2015-01-03 00:00:00 UTC,286.572,308.4936
2015-01-04 00:00:00 UTC,260.936,298.665
2015-01-05 00:00:00 UTC,273.22,289.8332
2015-01-06 00:00:00 UTC,285.3738,284.10956
2015-01-07 00:00:00 UTC,295.8725,280.39486
2015-01-08 00:00:00 UTC,284.4525,279.97096
2015-01-09 00:00:00 UTC,289.5738,285.69852
2015-01-10 00:00:00 UTC,274.533,285.96112
2015-01-11 00:00:00 UTC,267.184,282.32316
2015-01-12 00:00:00 UTC,268.353667700943,276.819393540189
2015-01-13 00:00:00 UTC,221.436,264.216093540189
2015-01-14 00:00:00 UTC,172.1479,240.730913540189
2015-01-15 00:00:00 UTC,210.5559,227.935493540189
2015-01-16 00:00:00 UTC,205.816,215.661893540189
2015-01-17 00:00:00 UTC,199.4914,201.88944
2015-01-18 00:00:00 UTC,208.9892,199.40008
2015-01-19 00:00:00 UTC,214.545,207.8795
2015-01-20 00:00:00 UTC,210.5137,207.87106
2015-01-21 00:00:00 UTC,224.0451,211.51688
2015-01-22 00:00:00 UTC,232.0423,218.02706
2015-01-23 00:00:00 UTC,232.898,222.80882
2015-01-24 00:00:00 UTC,248.096,229.51902
2015-01-25 00:00:00 UTC,253.8389,238.18406
2015-01-26 00:00:00 UTC,271.2882,247.63268
2015-01-27 00:00:00 UTC,259.2356,253.07134
2015-01-29 00:00:00 UTC,232.532942230494,252.998328446099
2015-01-30 00:00:00 UTC,228.6354,249.106208446099
2015-01-31 00:00:00 UTC,218.0233,241.943088446099
2015-02-01 00:00:00 UTC,226.2697,232.939388446099
2015-02-02 00:00:00 UTC,240.0193,229.096128446099
2015-02-03 00:00:00 UTC,226.0119,227.79192
2015-02-04 00:00:00 UTC,225.3083,227.1265
2015-02-05 00:00:00 UTC,216.9136,226.90456
2015-02-06 00:00:00 UTC,222.4872,226.14806
2015-02-07 00:00:00 UTC,227.2051,223.58522
2015-02-08 00:00:00 UTC,222.9061,222.96406
2015-02-09 00:00:00 UTC,220.0922,221.92084
2015-02-10 00:00:00 UTC,220.6493,222.66798
2015-02-11 00:00:00 UTC,219.0956,221.98966
2015-02-12 00:00:00 UTC,222.040158787526,220.956671757505
2015-02-13 00:00:00 UTC,235.6774,223.510931757505
2015-02-14 00:00:00 UTC,259.0086,231.294211757505
2015-02-15 00:00:00 UTC,232.9962,233.763591757505
2015-02-16 00:00:00 UTC,235.9199,237.128451757505
2015-02-17 00:00:00 UTC,242.4568,241.21178
2015-02-18 00:00:00 UTC,234.6238,241.00106
2015-02-19 00:00:00 UTC,240.2988,237.2591
2015-02-20 00:00:00 UTC,244.0821,239.47628
2015-02-21 00:00:00 UTC,244.1459,241.12148
2015-02-22 00:00:00 UTC,235.553,239.74072
2015-02-23 00:00:00 UTC,238.1319,240.44234
2015-02-24 00:00:00 UTC,238.7314,240.12886
2015-02-25 00:00:00 UTC,237.378,238.78804
2015-02-26 00:00:00 UTC,236.171155772341,237.193091154468
2015-02-27 00:00:00 UTC,253.8991,240.862311154468
2015-02-28 00:00:00 UTC,253.5991,243.955751154468
2015-03-01 00:00:00 UTC,257.7075,247.750971154468
2015-03-02 00:00:00 UTC,269.9615,254.267671154468
2015-03-03 00:00:00 UTC,280.6242,263.15828
2015-03-04 00:00:00 UTC,273.0193,266.98232
2015-03-05 00:00:00 UTC,274.8255,271.2276
2015-03-06 00:00:00 UTC,272.3413,274.15436
2015-03-07 00:00:00 UTC,275.584638734083,275.278987746817
2015-03-08 00:00:00 UTC,274.578,274.069747746817
2015-03-09 00:00:00 UTC,289.2957,277.325027746817
2015-03-10 00:00:00 UTC,290.3057,280.421067746817
2015-03-11 00:00:00 UTC,295.961,285.145007746817
2015-03-12 00:00:00 UTC,293.9203,288.81214
2015-03-13 00:00:00 UTC,288.0365,291.50384
2015-03-14 00:00:00 UTC,281.4887,289.94244
2015-03-15 00:00:00 UTC,285.2645,288.9342
2015-03-16 00:00:00 UTC,290.0955,287.7611
2015-03-17 00:00:00 UTC,284.3491,285.84686
2015-03-18 00:00:00 UTC,255.6062,279.3608
2015-03-19 00:00:00 UTC,260.0037,275.0638
2015-03-20 00:00:00 UTC,260.9075,270.1924
2015-03-21 00:00:00 UTC,259.4899,264.07128
2015-03-22 00:00:00 UTC,267.7981,260.76108
2015-03-23 00:00:00 UTC,266.0272,262.84528
2015-03-24 00:00:00 UTC,245.1679,259.87812
2015-03-25 00:00:00 UTC,246.2715,256.95092
2015-03-26 00:00:00 UTC,247.5595,254.56484
2015-03-27 00:00:00 UTC,247.1476,250.43474
2015-03-28 00:00:00 UTC,252.0497,247.63924
2015-03-29 00:00:00 UTC,241.9137,246.9884
2015-03-30 00:00:00 UTC,246.5418,247.04246
2015-03-31 00:00:00 UTC,243.2692,246.1844
