Date,Open,High,Low,Close,Adj Close,Volume
2018-02-08,1.060727,1.068342,1.056167,1.060783,1.060783,0
2018-02-09,1.069519,1.069862,1.062936,1.069427,1.069427,0
2018-02-12,1.064317,1.067920,1.063841,1.064396,1.064396,0
2018-02-13,1.065292,1.072605,1.064045,1.065530,1.065530,0
2018-02-14,1.069164,1.075199,1.066803,1.069256,1.069256,0
2018-02-15,1.077772,1.084105,1.076438,1.078179,1.078179,0
2018-02-16,1.084881,1.088258,1.079750,1.084599,1.084599,0
2018-02-19,1.078504,1.079680,1.073019,1.078504,1.078504,0
2018-02-20,1.075951,1.076658,1.068022,1.075963,1.075963,0
2018-02-21,1.067897,1.068719,1.065405,1.067920,1.067920,0
2018-02-22,1.065292,1.071926,1.062835,1.065349,1.065349,0
2018-02-23,1.071616,1.072386,1.066974,1.071742,1.071742,0
2018-02-26,1.067076,1.072444,1.065042,1.067168,1.067168,0
2018-02-27,1.065394,1.068559,1.062146,1.065417,1.065417,0
2018-02-28,1.064135,1.065190,1.057854,1.064555,1.064555,0
2018-03-01,1.058335,1.059266,1.053952,1.058985,1.058985,0
2018-03-02,1.062214,1.070721,1.061166,1.062146,1.062146,0
2018-03-05,1.067350,1.069290,1.063762,1.067088,1.067088,0
2018-03-06,1.064022,1.068433,1.062022,1.064169,1.064169,0
2018-03-07,1.065837,1.068741,1.059457,1.065825,1.065825,0
2018-03-08,1.059805,1.061391,1.052499,1.059973,1.059973,0
2018-03-09,1.051039,1.053941,1.048922,1.051094,1.051094,0
2018-03-12,1.051735,1.055476,1.051392,1.051746,1.051746,0
2018-03-13,1.055632,1.060243,1.053474,1.055754,1.055754,0
2018-03-14,1.059670,1.061233,1.055019,1.060097,1.060097,0
2018-03-15,1.058750,1.060007,1.052233,1.058840,1.058840,0
2018-03-16,1.051027,1.054141,1.047460,1.051193,1.051193,0
2018-03-19,1.049362,1.053020,1.047033,1.049538,1.049538,0
2018-03-20,1.051182,1.052521,1.046671,1.051635,1.051635,0
2018-03-21,1.046003,1.050420,1.045916,1.046091,1.046091,0
2018-03-22,1.054296,1.057105,1.053230,1.054218,1.054218,0
2018-03-23,1.056792,1.058761,1.053352,1.056669,1.056669,0
2018-03-26,1.055788,1.060108,1.054074,1.056078,1.056078,0
2018-03-27,1.058112,1.060220,1.051702,1.058425,1.058425,0
2018-03-28,1.056435,1.057194,1.046014,1.056524,1.056524,0
2018-03-29,1.045478,1.047274,1.043569,1.045325,1.045325,0
2018-03-30,1.045916,1.050200,1.045806,1.046025,1.046025,0
2018-04-02,1.047449,1.049869,1.045719,1.047559,1.047559,0
2018-04-03,1.046923,1.049208,1.042394,1.047120,1.047120,0
2018-04-04,1.043536,1.046561,1.041786,1.043384,1.043384,0
2018-04-05,1.041569,1.041884,1.037409,1.041547,1.041547,0
2018-04-06,1.039501,1.043057,1.036624,1.039609,1.039609,0
2018-04-09,1.042470,1.045916,1.040691,1.042514,1.042514,0
2018-04-10,1.045916,1.048856,1.043787,1.045883,1.045883,0
2018-04-11,1.045916,1.046463,1.042253,1.045653,1.045653,0
2018-04-12,1.044823,1.045041,1.036936,1.044495,1.044495,0
2018-04-13,1.039123,1.041884,1.037581,1.039155,1.039155,0
2018-04-16,1.038378,1.044059,1.037850,1.038346,1.038346,0
2018-04-17,1.042286,1.043732,1.033987,1.042286,1.042286,0
2018-04-18,1.034565,1.036098,1.031353,1.034768,1.034768,0
2018-04-19,1.032450,1.034447,1.028415,1.032524,1.032524,0
2018-04-20,1.029262,1.030089,1.024874,1.029325,1.029325,0
2018-04-23,1.024664,1.025936,1.022756,1.024695,1.024695,0
2018-04-24,1.022505,1.023856,1.019420,1.022338,1.022338,0
2018-04-25,1.021972,1.021972,1.015517,1.021868,1.021868,0
2018-04-26,1.017605,1.018683,1.011409,1.017698,1.017698,0
2018-04-27,1.011041,1.012863,1.008217,1.011092,1.011092,0
2018-04-30,1.012084,1.013171,1.008115,1.012033,1.012033,0
2018-05-01,1.009591,1.009591,1.003170,1.009591,1.009591,0
2018-05-02,1.003472,1.006380,1.001181,1.003422,1.003422,0
2018-05-03,1.000731,1.004419,1.000360,1.000700,1.000700,0
2018-05-04,1.002657,1.003210,0.997865,1.002667,1.002667,0
2018-05-07,0.999600,1.001904,0.994530,0.999460,0.999460,0
2018-05-08,0.997984,0.999530,0.995520,0.998153,0.998153,0
2018-05-09,0.998732,0.999580,0.995788,0.998861,0.998861,0
2018-05-10,0.994639,1.000500,0.994431,0.994629,0.994629,0
2018-05-11,0.996979,1.002325,0.996115,0.996979,0.996979,0
2018-05-14,1.000040,1.004248,0.999660,1.000140,1.000140,0
2018-05-15,0.999760,1.000731,0.996016,0.999720,0.999720,0
2018-05-16,0.998702,1.001603,0.998233,0.998682,0.998682,0
2018-05-17,0.999400,1.001402,0.996850,0.999600,0.999600,0
2018-05-18,0.998323,1.003311,0.998323,0.998482,0.998482,0
2018-05-21,1.001914,1.002908,0.999970,1.002104,1.002104,0
2018-05-22,1.003210,1.008369,1.001021,1.003210,1.003210,0
2018-05-23,1.008065,1.010611,1.004672,1.008136,1.008136,0
2018-05-24,1.005763,1.011531,1.005348,1.005884,1.005884,0
2018-05-25,1.008939,1.009693,1.006391,1.008776,1.008776,0
2018-05-28,1.007963,1.009082,1.004369,1.008166,1.008166,0
2018-05-29,1.006583,1.008065,1.001863,1.006664,1.006664,0
2018-05-30,1.009173,1.012197,1.006593,1.009387,1.009387,0
2018-05-31,1.011572,1.017812,1.011225,1.011552,1.011552,0
2018-06-01,1.015301,1.016054,1.009224,1.015538,1.015538,0
2018-06-04,1.011419,1.017335,1.010785,1.011531,1.011531,0
2018-06-05,1.012074,1.015125,1.010908,1.012146,1.012146,0
2018-06-06,1.016023,1.016984,1.011624,1.016260,1.016260,0
2018-06-07,1.014405,1.019888,1.013788,1.014302,1.014302,0
2018-06-08,1.019316,1.020304,1.011593,1.019555,1.019555,0
2018-06-11,1.015136,1.016312,1.012884,1.015424,1.015424,0
2018-06-12,1.013818,1.017294,1.011828,1.013993,1.013993,0
2018-06-13,1.013274,1.016363,1.010663,1.013377,1.013377,0
2018-06-14,1.015744,1.017760,1.005369,1.015641,1.015641,0
2018-06-15,1.002908,1.005490,1.001252,1.003100,1.003100,0
2018-06-18,1.002567,1.006411,1.001151,1.002506,1.002506,0
2018-06-19,1.005682,1.008471,1.002396,1.005844,1.005844,0
2018-06-20,1.006036,1.006340,1.001783,1.005895,1.005895,0
2018-06-21,1.003956,1.009999,1.001492,1.003976,1.003976,0
2018-06-22,1.008542,1.011327,1.008227,1.008451,1.008451,0
2018-06-25,1.012197,1.013685,1.011317,1.012279,1.012279,0
2018-06-26,1.013171,1.014507,1.008288,1.013274,1.013274,0
