Date,Open,High,Low,Close
07/25/2024,"2,398.10","2,400.80","2,351.90","2,353.50"
07/24/2024,"2,410.70","2,433.00","2,397.00","2,415.70"
07/23/2024,"2,398.00","2,413.50","2,389.20","2,407.30"
07/22/2024,"2,403.70","2,414.40","2,385.20","2,394.70"
07/19/2024,"2,448.00","2,448.40","2,395.70","2,399.10"
07/18/2024,"2,462.50","2,478.50","2,442.90","2,456.40"
07/17/2024,"2,473.20","2,488.40","2,455.50","2,459.90"
07/16/2024,"2,427.10","2,474.50","2,424.50","2,467.80"
07/15/2024,"2,419.30","2,445.00","2,406.10","2,428.90"
07/12/2024,"2,421.00","2,423.20","2,396.10","2,420.70"
07/11/2024,"2,377.40","2,430.40","2,376.80","2,421.90"
07/10/2024,"2,371.00","2,393.40","2,369.70","2,379.70"
07/09/2024,"2,366.50","2,378.30","2,356.00","2,367.90"
07/08/2024,"2,396.20","2,399.30","2,358.30","2,363.50"
07/05/2024,"2,365.10","2,401.50","2,356.00","2,397.70"
07/03/2024,"2,338.60","2,374.50","2,335.70","2,369.40"
07/02/2024,"2,341.60","2,346.10","2,327.40","2,333.40"
07/01/2024,"2,336.20","2,348.80","2,328.20","2,338.90"
06/28/2024,"2,338.60","2,350.60","2,329.70","2,339.60"
06/27/2024,"2,309.40","2,342.00","2,306.80","2,336.60"
06/26/2024,"2,331.80","2,335.80","2,304.70","2,313.20"
06/25/2024,"2,346.80","2,349.70","2,327.10","2,330.80"
06/24/2024,"2,333.50","2,347.50","2,329.50","2,344.40"
06/21/2024,"2,373.80","2,382.60","2,329.20","2,331.20"
06/20/2024,"2,342.90","2,379.50","2,341.30","2,369.00"
06/18/2024,"2,333.70","2,348.20","2,320.20","2,346.90"
06/17/2024,"2,348.50","2,348.70","2,324.30","2,329.00"
06/14/2024,"2,319.60","2,352.30","2,316.70","2,349.10"
06/13/2024,"2,340.90","2,342.40","2,310.90","2,318.00"
06/12/2024,"2,334.00","2,358.80","2,327.20","2,354.80"
06/11/2024,"2,329.50","2,337.30","2,314.50","2,326.60"
06/10/2024,"2,311.00","2,331.30","2,304.50","2,327.00"
06/07/2024,"2,395.70","2,406.70","2,304.20","2,325.00"
06/06/2024,"2,375.30","2,397.80","2,372.20","2,390.90"
06/05/2024,"2,347.10","2,377.60","2,345.30","2,375.50"
06/04/2024,"2,371.30","2,373.10","2,335.10","2,347.40"
06/03/2024,"2,348.00","2,375.50","2,334.80","2,369.30"
05/31/2024,"2,364.50","2,381.20","2,341.10","2,345.80"
05/30/2024,"2,361.00","2,373.70","2,343.30","2,366.50"
05/29/2024,"2,362.50","2,363.70","2,334.20","2,341.20"
05/28/2024,"2,353.50","2,365.50","2,340.80","2,356.50"
05/24/2024,"2,330.40","2,349.00","2,326.30","2,334.50"
05/23/2024,"2,383.00","2,385.70","2,328.10","2,337.20"
05/22/2024,"2,425.40","2,430.50","2,378.00","2,392.90"
05/21/2024,"2,431.50","2,438.20","2,408.50","2,425.90"
05/20/2024,"2,422.20","2,454.20","2,411.10","2,438.50"
05/17/2024,"2,381.40","2,427.40","2,377.80","2,417.40"
05/16/2024,"2,391.50","2,402.70","2,375.20","2,385.50"
05/15/2024,"2,362.90","2,396.10","2,357.10","2,394.90"
05/14/2024,"2,342.30","2,365.20","2,340.50","2,359.90"
05/13/2024,"2,369.10","2,370.80","2,337.60","2,343.00"
05/10/2024,"2,353.50","2,385.30","2,352.00","2,375.00"
